,instance_name,budget,n_edges,method,obj,lower_obj,time
0,SF_DNDP_10_1,0.25,10,mkkt_5,7117.998956660318,4113.565241331506,5.017476797103882
1,SF_DNDP_10_1,0.25,10,mkkt_10,6227.910205105607,3847.233038750662,10.014120817184448
2,SF_DNDP_10_1,0.25,10,mkkt_30,6227.910205105607,3847.233038750662,21.430105924606323
3,SF_DNDP_10_1,0.5,10,mkkt_5,6134.888485793741,3803.282327821288,5.009232997894287
4,SF_DNDP_10_1,0.5,10,mkkt_10,6134.888485793741,3803.282327821288,10.0102379322052
5,SF_DNDP_10_1,0.5,10,mkkt_30,5680.215425340998,3660.755383214434,30.017709970474243
6,SF_DNDP_10_1,0.75,10,mkkt_5,5755.610246127228,3648.4810447535765,5.0061869621276855
7,SF_DNDP_10_1,0.75,10,mkkt_10,5294.018915271812,3489.7547035284333,10.013041973114014
8,SF_DNDP_10_1,0.75,10,mkkt_30,5294.018915271812,3489.7547035284333,29.518539905548096
9,SF_DNDP_10_2,0.25,10,mkkt_5,7015.89906224094,4100.523407468117,5.008548021316528
10,SF_DNDP_10_2,0.25,10,mkkt_10,6509.746308388237,3976.3014734170238,10.016412019729614
11,SF_DNDP_10_2,0.25,10,mkkt_30,6509.746308388237,3976.3014734170238,17.49765706062317
12,SF_DNDP_10_2,0.5,10,mkkt_5,6475.791777781206,3949.353706179794,5.010051012039185
13,SF_DNDP_10_2,0.5,10,mkkt_10,5756.834582133441,3764.937853663224,10.008641958236694
14,SF_DNDP_10_2,0.5,10,mkkt_30,5756.834582133441,3764.937853663224,18.063575983047485
15,SF_DNDP_10_2,0.75,10,mkkt_5,5865.21445871639,3696.0587184022165,5.01087212562561
16,SF_DNDP_10_2,0.75,10,mkkt_10,5088.467057297561,3501.329162419624,10.037115097045898
17,SF_DNDP_10_2,0.75,10,mkkt_30,5088.467057297561,3501.329162419624,14.862765073776245
18,SF_DNDP_10_3,0.25,10,mkkt_5,6495.653695433991,3972.6481019625517,5.009860038757324
19,SF_DNDP_10_3,0.25,10,mkkt_10,6227.910501430026,3847.233083426842,10.016495943069458
20,SF_DNDP_10_3,0.25,10,mkkt_30,6287.763814909708,3932.6154606813748,26.917940139770508
21,SF_DNDP_10_3,0.5,10,mkkt_5,6149.014358505229,3805.5239963243084,5.009634971618652
22,SF_DNDP_10_3,0.5,10,mkkt_10,5448.393005604635,3630.5829448360073,10.014322996139526
23,SF_DNDP_10_3,0.5,10,mkkt_30,5448.393005604635,3630.5829448360073,30.01317000389099
24,SF_DNDP_10_3,0.75,10,mkkt_5,5201.84036689461,3591.3226411668393,5.011981010437012
25,SF_DNDP_10_3,0.75,10,mkkt_10,5072.76969609968,3517.3999326750436,10.019831895828247
26,SF_DNDP_10_3,0.75,10,mkkt_30,5087.841008191441,3504.0513002547445,30.06983995437622
27,SF_DNDP_10_4,0.25,10,mkkt_5,6631.749469789142,3949.5690220536817,5.011331796646118
28,SF_DNDP_10_4,0.25,10,mkkt_10,6059.431989166722,3788.1023498561535,10.014647006988525
29,SF_DNDP_10_4,0.25,10,mkkt_30,6059.431989166722,3788.1023498561535,25.569106101989746
30,SF_DNDP_10_4,0.5,10,mkkt_5,5787.1880915978145,3707.5869196014137,5.011150121688843
31,SF_DNDP_10_4,0.5,10,mkkt_10,5626.430541493377,3630.017508197794,10.010555028915405
32,SF_DNDP_10_4,0.5,10,mkkt_30,5626.430541493377,3630.017508197794,24.81200408935547
33,SF_DNDP_10_4,0.75,10,mkkt_5,5956.899824353988,3735.8543109376583,5.0078959465026855
34,SF_DNDP_10_4,0.75,10,mkkt_10,5504.373437474155,3585.0486333911153,10.012040138244629
35,SF_DNDP_10_4,0.75,10,mkkt_30,5504.373437474155,3585.0486333911153,18.856460094451904
36,SF_DNDP_10_5,0.25,10,mkkt_5,6086.667814281844,3972.9272913927766,5.0104711055755615
37,SF_DNDP_10_5,0.25,10,mkkt_10,5983.195053017989,3934.0156297336093,10.016574144363403
38,SF_DNDP_10_5,0.25,10,mkkt_30,5900.934243355682,3892.284066824929,23.948299169540405
39,SF_DNDP_10_5,0.5,10,mkkt_5,5746.270630336355,3818.9026339789652,5.010465145111084
40,SF_DNDP_10_5,0.5,10,mkkt_10,5746.270630336355,3818.9026339789652,10.011627912521362
41,SF_DNDP_10_5,0.5,10,mkkt_30,5358.964295127796,3753.254477287032,30.017091035842896
42,SF_DNDP_10_5,0.75,10,mkkt_5,5475.073330113381,3734.547996325678,5.007817029953003
43,SF_DNDP_10_5,0.75,10,mkkt_10,5111.8233409456525,3632.391135525378,10.029680967330933
44,SF_DNDP_10_5,0.75,10,mkkt_30,5111.8233409456525,3632.391135525378,30.03177285194397
45,SF_DNDP_10_6,0.25,10,mkkt_5,5819.208990895571,3893.6069382056453,5.0105650424957275
46,SF_DNDP_10_6,0.25,10,mkkt_10,5823.645468442481,3886.352879629887,10.011334896087646
47,SF_DNDP_10_6,0.25,10,mkkt_30,5823.645468442481,3886.352879629887,30.025856971740723
48,SF_DNDP_10_6,0.5,10,mkkt_5,5282.967498430306,3669.0980906758496,5.0115039348602295
49,SF_DNDP_10_6,0.5,10,mkkt_10,5282.967498430306,3669.0980906758496,10.012036085128784
50,SF_DNDP_10_6,0.5,10,mkkt_30,5151.977849025248,3650.816273432789,30.01574206352234
51,SF_DNDP_10_6,0.75,10,mkkt_5,5201.615716447498,3635.7597012947904,5.006934881210327
52,SF_DNDP_10_6,0.75,10,mkkt_10,4798.177081316394,3517.0601298258257,10.01717209815979
53,SF_DNDP_10_6,0.75,10,mkkt_30,4810.350484246974,3501.052298948705,30.02538013458252
54,SF_DNDP_10_7,0.25,10,mkkt_5,5900.934243355682,3892.284066824928,5.012884855270386
55,SF_DNDP_10_7,0.25,10,mkkt_10,5900.934243355682,3892.284066824928,10.015629053115845
56,SF_DNDP_10_7,0.25,10,mkkt_30,5900.934243355682,3892.284066824928,30.0413920879364
57,SF_DNDP_10_7,0.5,10,mkkt_5,5760.96510596143,3843.062102897356,5.011728048324585
58,SF_DNDP_10_7,0.5,10,mkkt_10,5650.718206698551,3793.120239429584,10.013261079788208
59,SF_DNDP_10_7,0.5,10,mkkt_30,5650.4180917356325,3793.095947342088,30.019098043441772
60,SF_DNDP_10_7,0.75,10,mkkt_5,5675.098678345112,3804.877220816831,5.009800910949707
61,SF_DNDP_10_7,0.75,10,mkkt_10,5593.943655076747,3762.480211737638,10.035703897476196
62,SF_DNDP_10_7,0.75,10,mkkt_30,5593.943655076747,3762.480211737638,17.14683198928833
63,SF_DNDP_10_8,0.25,10,mkkt_5,5900.93424335568,3892.2840668249287,5.012777090072632
64,SF_DNDP_10_8,0.25,10,mkkt_10,5900.93424335568,3892.2840668249287,10.03958010673523
65,SF_DNDP_10_8,0.25,10,mkkt_30,5900.93424335568,3892.2840668249287,9.73771619796753
66,SF_DNDP_10_8,0.5,10,mkkt_5,5539.597790389315,3762.3212960693277,5.0076069831848145
67,SF_DNDP_10_8,0.5,10,mkkt_10,5366.4774628569285,3718.7513885211297,10.014861822128296
68,SF_DNDP_10_8,0.5,10,mkkt_30,5366.4774628569285,3718.7513885211297,30.013041973114014
69,SF_DNDP_10_8,0.75,10,mkkt_5,5369.673322159962,3699.8586104780516,5.008172035217285
70,SF_DNDP_10_8,0.75,10,mkkt_10,5189.493698192778,3649.7597609749632,10.01940393447876
71,SF_DNDP_10_8,0.75,10,mkkt_30,5189.426898033266,3649.7667757044037,30.020159006118774
72,SF_DNDP_10_9,0.25,10,mkkt_5,7015.899062240943,4100.5234074681175,5.012155055999756
73,SF_DNDP_10_9,0.25,10,mkkt_10,6335.541638421498,3961.1221438963926,10.011440992355347
74,SF_DNDP_10_9,0.25,10,mkkt_30,6335.541638421498,3961.1221438963926,23.777100086212158
75,SF_DNDP_10_9,0.5,10,mkkt_5,5819.863590965465,3842.6395280007823,5.010213851928711
76,SF_DNDP_10_9,0.5,10,mkkt_10,5377.357150891159,3715.8445559212582,10.01059603691101
77,SF_DNDP_10_9,0.5,10,mkkt_30,5377.357150891159,3715.8445559212582,30.019394874572754
78,SF_DNDP_10_9,0.75,10,mkkt_5,4952.61079170542,3570.3542520477304,5.01513409614563
79,SF_DNDP_10_9,0.75,10,mkkt_10,4951.9833002365995,3569.573686760881,10.008223056793213
80,SF_DNDP_10_9,0.75,10,mkkt_30,4951.9833002365995,3569.573686760881,20.446509838104248
81,SF_DNDP_10_10,0.25,10,mkkt_5,6864.82986336689,4039.0883818311836,5.009130954742432
82,SF_DNDP_10_10,0.25,10,mkkt_10,6587.677168748137,3970.01946595676,10.014648914337158
